squad_id,title,color_family,label_100,label_80,label_60,label_40,label_20,squad_norm,squad_size
law_democracy,שלטון החוק והדמוקרטיה,blue,תחום ליבה,זיקה חזקה,זיקה משמעותית,נגיעה בנושא,נגיעה בנושא,,
religion_state,"חופש, דת ומדינה",purple,תחום ליבה,זיקה חזקה,זיקה משמעותית,נגיעה בנושא,נגיעה בנושא,,
directors,דירקטורים / הנהגה,gray,תחום ליבה,זיקה חזקה,זיקה משמעותית,נגיעה בנושא,נגיעה בנושא,24,24
green_social,ירוק-חברתי / סביבה וחברה,green,תחום ליבה,זיקה חזקה,זיקה משמעותית,נגיעה בנושא,נגיעה בנושא,,
jewish_arab,שותפות יהודית-ערבית,teal,תחום ליבה,זיקה חזקה,זיקה משמעותית,נגיעה בנושא,נגיעה בנושא,,
cost_of_living,יוקר המחיה והביטחון הכלכלי,amber,תחום ליבה,זיקה חזקה,זיקה משמעותית,נגיעה בנושא,נגיעה בנושא,,
peace_security,שלום וביטחון לאומי,red,תחום ליבה,זיקה חזקה,זיקה משמעותית,נגיעה בנושא,נגיעה בנושא,,
negev_galil,פיתוח הנגב והגליל,coral,תחום ליבה,זיקה חזקה,זיקה משמעותית,נגיעה בנושא,נגיעה בנושא,,
next_generation,הדור הבא והצעירים,pink,תחום ליבה,זיקה חזקה,זיקה משמעותית,נגיעה בנושא,נגיעה בנושא,,
